name          redshift     t0       t0_err         x0         x0_err         x1          x1_err          c          c_err   mwebv      cov_x0x1       cov_x0c       cov_x1c  chiquad/dof modelo
2943.0     0.2654    53639.8   2.14524     5.0895e-05   3.9351e-06     0.721686       1.17734      -0.0350027     0.0967273    0.0343   -5.00613e-07  -3.10007e-07    -0.0332313     1.2496     salt2_ori
05D4cw     0.375     53580.4   0.249401    2.45717e-05  2.92768e-07   -0.74222        0.153585     -0.119411      0.0138468    0.0256   -1.61236e-09  -3.0952e-09     -0.000428236   2.19593    salt2_ori
04D4im     0.751     53285.6   0.44916     5.30191e-06  1.21191e-07    0.143442       0.323534      0.243883      0.119193     0.0234   -1.94788e-08  -4.31479e-09    -0.010653      2.94188    salt2_ori
20111.0    0.245     54410.1   1.15899     4.58632e-05  4.6479e-06     1.94288        1.61061       0.0420016     0.0936536    0.0388   -5.1312e-06   -3.89866e-07     0.0670264     1.05743    salt2_ori
16165.0    0.157     54052.8   0.19543     0.000158304  2.34639e-06    0.567729       0.240656     -0.0391958     0.0134368    0.0273   -4.1532e-07   -2.07858e-08     0.00153963    1.54101    salt2_ori
2789.0     0.2903    53635.9   0.68099     4.24022e-05  3.50955e-06   -0.541433       0.654554     -0.123761      0.0976991    0.0545   -9.08968e-07  -2.72462e-07     0.000504888   0.879953   salt2_ori
20345.0    0.265     54418     0.802451    5.46875e-05  3.83054e-06   -2.1559         0.908754     -0.0727044     0.0822374    0.0168   -8.26259e-07  -2.76556e-07     0.0128101     0.572413   salt2_ori
04D4dw     1.031     53187.4  10.8591      1.89416e-06  4.39188e-06    6.39378       15.1866        4.61374      12.4353       0.0288    6.10638e-05  -5.45035e-05  -176.578         2.56104    salt2_ori
12881.0    0.233     53980.2   0.696409    5.86011e-05  4.31643e-06    1.36619        0.690233      0.123325      0.0650317    0.0235   -1.8276e-06   -2.45471e-07     0.0132118     0.859009   salt2_ori
13025.0    0.225     53991.2   1.25894     6.05543e-05  3.59272e-06    0.532928       0.560116     -0.0352763     0.0549296    0.0783    1.08727e-07  -1.67096e-07    -0.00114593    0.948124   salt2_ori
18298.0    0.11982   54374.4   0.163755    0.000105249  5.25103e-06   -2.69253        0.263732      0.282126      0.034579     0.0271   -1.05993e-06  -1.59924e-07     0.00528017    1.99435    salt2_ori
16072.0    0.277     54046     0.737144    4.48056e-05  4.50726e-06   -0.227396       1.2427       -0.0136891     0.0915505    0.0578   -3.90631e-06  -3.37643e-07     0.0363334     0.960833   salt2_ori
05D2nt     0.757     53725.2   4.85139     4.35834e-06  2.56571e-07    2.26572        1.26952      -0.119046      0.0762634    0.0179    2.51534e-07  -3.29067e-09     0.00408084    1.09459    salt2_ori
sn1992bh   0.045     48920.5   0.421527    0.00161013   2.45942e-05   -0.02035        0.148561      0.0482509     0.0166511    0.022     1.49907e-06  -2.85533e-07    -0.00109313    0.702123   salt2_ori
03D1co     0.679     52954.3   0.541134    4.25361e-06  2.31243e-07    0.765487       0.495112     -0.110687      0.163612     0.0299   -7.16443e-08  -2.74536e-08     0.00762192    1.05854    salt2_ori
05D3lc     0.461     53527.6   0.154223    1.15911e-05  7.19109e-08   -0.602311       0.105705     -0.0437749     0.0116196    0.0085   -2.60286e-09  -3.14144e-10    -0.000110558   0.969374   salt2_ori
17629.0    0.1369    54370.3   0.111879    0.000168794  3.41515e-06   -0.292583       0.158137      0.0678634     0.0157315    0.0281   -4.2642e-07   -3.83922e-08     0.00111804    1.77347    salt2_ori
22075.0    0.12996   54426.2   0.382675    0.000192309  4.01422e-06   -1.47485        0.434426     -0.0218044     0.0229979    0.0269   -6.94315e-09  -3.86533e-08     0.00577765    1.46144    salt2_ori
15901.0    0.199     54044.8   0.472629    8.19073e-05  5.96357e-06    1.2008         0.853857     -0.000403792   0.0585543    0.0319   -3.51643e-06  -3.20679e-07     0.022613      0.796196   salt2_ori
04D3lu     0.822     53170.7   1.00421     3.16774e-06  7.91211e-08   -0.993942       0.484734      0.0332085     0.120927     0.01     -3.42122e-09   3.57103e-09     0.00366539    0.970782   salt2_ori
04D2cf     0.369     53075.8   0.795313    1.88917e-05  6.50895e-07   -0.888857       0.210026     -0.0247708     0.0218681    0.0185    8.63012e-08  -1.25514e-08    -0.00268333    1.52223    salt2_ori
4679.0     0.3324    53653.9   0.854581    2.83294e-05  2.99773e-06    1.09148        0.929473     -0.0291482     0.10737      0.0295   -1.98549e-06  -2.35117e-07     0.0236862     1.02046    salt2_ori
04D3ny     0.81      53194     1.19395     3.67021e-06  1.65478e-07   -0.82077        0.750012      0.234349      0.184396     0.0104   -6.59556e-08  -8.07397e-10    -0.0312268     1.38017    salt2_ori
13045.0    0.182     53995.5   0.785464    9.49091e-05  5.51737e-06   -0.0113986      0.491177      0.0272496     0.0542961    0.0511   -4.59841e-07  -2.78975e-07     0.00287557    1.69851    salt2_ori
14871.0    0.119     54027.2   0.14491     0.000305041  2.83608e-06    1.36053        0.115304     -0.0609348     0.0081349    0.087    -1.80747e-07  -1.57064e-08     0.000288197   1.255      salt2_ori
sn2006an   0.064001  53790.1   0.411782    0.00106291   2.3886e-05     0.587549       0.166912     -0.0322587     0.0108982    0.027     1.37933e-07  -2.00514e-07     0.000185372   6.65515    salt2_ori
sn2005lz   0.040998  53736.1   0.122115    0.00162834   1.82427e-05   -1.22382        0.10969       0.0609831     0.00975469   0.09     -9.48713e-07  -1.23466e-07     1.30443e-06   2.61707    salt2_ori
16100.0    0.195     54049.3   0.517101    6.43639e-05  5.0339e-06     0.467041       0.790946      0.0754669     0.0683331    0.0309   -2.07204e-06  -3.15592e-07     0.0148199     0.719333   salt2_ori
05D4ej     0.585     53627.6   0.288137    5.26139e-06  2.30752e-07    0.0819626      0.32056       0.177103      0.0679455    0.0286   -3.74882e-08  -1.31126e-08     0.00175181    0.870333   salt2_ori
19604.0    0.296     54396.7   0.905001    2.06138e-05  3.01282e-06   -1.43206        1.3871        0.225306      0.139089     0.0215   -2.57042e-06  -3.44222e-07     0.0482046     0.544535   salt2_ori
04D1de     0.768     53246.1   0.285772    4.08589e-06  8.91068e-08    0.746056       0.29639      -0.137709      0.100226     0.0286   -2.13727e-08  -4.45006e-10    -0.00385773    1.97694    salt2_ori
18602.0    0.135     54394.1   0.133301    0.00017318   3.6913e-06     0.448668       0.196595      0.0253384     0.0174212    0.0749   -5.98198e-07  -4.99896e-08     0.00205094    1.37465    salt2_ori
05D1eo     0.737     53666.9   0.540714    3.39885e-06  1.01895e-07   -1.5029         0.406819      0.0319269     0.133416     0.0256   -1.36153e-08  -6.63456e-09    -0.0104932     0.886396   salt2_ori
sn1993o    0.051     49134.2   0.10677     0.00159539   1.81887e-05   -0.683876       0.0828876    -0.0736854     0.0129148    0.053    -9.63834e-07  -1.67998e-07     0.000331192   1.40634    salt2_ori
16069.0    0.12877   54050.3   0.209605    0.000157622  2.39315e-06    1.38519        0.215045      0.187148      0.0135422    0.0554   -3.2001e-07   -2.53071e-08     0.00145678    1.48946    salt2_ori
2165.0     0.288     53634.4   0.780361    4.2378e-05   2.73721e-06    0.433286       0.701419     -0.162957      0.075965     0.0358   -7.6549e-07   -1.63709e-07    -0.000100401   0.547249   salt2_ori
3901.0     0.06282   53658     0.0655101   0.00112573   5.1346e-06     0.327396       0.055915      0.0365907     0.00387103   0.0251   -1.69663e-07  -1.30077e-08     4.8979e-05    7.43084    salt2_ori
1794.0     0.1426    53624.7   0.531976    0.000168324  2.7082e-06     1.13271        0.305807      0.0130878     0.0146606    0.088    -1.16302e-07  -2.52776e-08     0.000957024   0.979954   salt2_ori
15872.0    0.203     54048.1   0.442411    0.00010678   6.622e-06      0.889053       0.598414     -0.063158      0.0538676    0.0317   -2.47411e-06  -3.15866e-07     0.00963914    0.646679   salt2_ori
04D2iu     0.7       53120.7   0.620534    3.50745e-06  2.742e-07     -1.7842         0.546737      0.3227        0.424339     0.0188   -1.14271e-08  -9.92852e-08    -0.0647669     1.84542    salt2_ori
04D1sa     0.585     53359.9   0.456077    7.89654e-06  4.58862e-07   -0.52689        0.552937     -0.409858      0.124561     0.0252   -8.5019e-08   -4.90669e-08    -0.00349918    1.19017    salt2_ori
05D2ec     0.64      53438.2   2.557       6.53486e-06  3.43947e-07    1.03265        0.921588     -0.226526      0.102254     0.02      1.27355e-07  -2.44923e-08    -0.00457785    1.4945     salt2_ori
sn2007bd   0.031018  54206.6   0.027411    0.00426142   1.68434e-05   -1.46513        0.0360623    -0.0522402     0.00398366   0.034    -2.35992e-07  -4.74903e-08     6.60487e-06   2.64976    salt2_ori
05D2le     0.7       53694.2   0.465738    5.06092e-06  1.80881e-07    0.0500043      0.371849     -0.103607      0.0765841    0.0178   -4.66362e-08  -8.6879e-09      0.005033      1.05344    salt2_ori
17280.0    0.13098   54343.6   0.946224    0.00025253   2.32089e-05   -0.808879       0.267252     -0.217041      0.0496225    0.0898   -1.75229e-06  -1.06984e-06     0.00376584    1.75867    salt2_ori
16276.0    0.193     54057.5   0.662205    8.8663e-05   6.08126e-06   -0.505846       1.08472       0.00193915    0.064852     0.0317   -3.32133e-06  -3.73327e-07     0.0277456     0.496887   salt2_ori
